Empresa,Repositorio_Nome,Language
amzn,.github,
amzn,ads-advanced-tools-docs,Jupyter Notebook
amzn,ads-pao-amznjs-gtm-server-side-template,Smarty
amzn,ads-pao-amznjs-gtm-template,Smarty
amzn,alexa-coho,JavaScript
amzn,alexa-skills-kit-js,
amzn,amazon-ads-advertiser-audience-normalization-sdk-py,Python
amzn,amazon-advertising-api-php-sdk,PHP
amzn,amazon-codeguru-profiler-for-spark,Java
amzn,amazon-frustration-free-setup-certification-tool,Python
amzn,amazon-hub-counter-api-docs,CSS
amzn,amazon-hub-counter-api-samples,Java
amzn,amazon-hub-counter-sdk-java,Java
amzn,amazon-hub-support,PowerShell
amzn,amazon-instant-access-sdk-java,Java
amzn,amazon-instant-access-sdk-net,C#
amzn,amazon-instant-access-sdk-php,PHP
amzn,amazon-instant-access-sdk-ruby,Ruby
amzn,amazon-launcher-integration-cordova-plugin,JavaScript
amzn,amazon-marketing-stream-examples,Python
amzn,amazon-mcf-plugin-for-magento-1,PHP
amzn,amazon-multi-token-completion,Python
amzn,amazon-nearest-neighbor-through-ecc,Jupyter Notebook
amzn,amazon-pay-api-sdk-dotnet,C#
amzn,amazon-pay-api-sdk-java,Java
amzn,amazon-pay-api-sdk-nodejs,JavaScript
amzn,amazon-pay-api-sdk-php,PHP
amzn,amazon-pay-api-sdk-ruby,Ruby
amzn,amazon-pay-code-samples,PHP
amzn,amazon-pay-sdk-csharp,C#
amzn,amazon-pay-sdk-java,Java
amzn,amazon-pay-sdk-php,PHP
amzn,amazon-pay-sdk-python,Python
amzn,amazon-pay-sdk-ruby,Ruby
amzn,amazon-payment-files-tools,Kotlin
amzn,amazon-payments-magento-2-plugin,PHP
amzn,amazon-ray,Python
amzn,amazon-s3-gst-plugin,C
amzn,amazon-sidewalk-android-samples,
amzn,amazon-sidewalk-ios-samples,Swift
amzn,amazon-succinct-doc-representation,Python
amzn,amazon-template-library,C++
amzn,amazon-weak-ner-needle,Python
amzn,amigitenough,Go
amzn,amzn-drivers,C
amzn,amzn-ec2-ena-utilities,Python
amzn,app-platform,Kotlin
amzn,armbench,Python
amzn,augment-the-pairs-wacv2024,Python
amzn,autotrail,Python
amzn,aws-apigateway-client-lib,
amzn,aws-sigv4-signing-samples,Java
amzn,awsssmchaosrunner,Kotlin
amzn,basis-point-sets,Python
amzn,BayesPE,Python
amzn,buy-with-prime-cdk-constructs,TypeScript
amzn,buy-with-prime-monitoring-sample-cdk,TypeScript
amzn,chalet-charging-location-for-electric-trucks,Python
amzn,computer-vision-basics-in-microsoft-excel,
amzn,confident-sinkhorn-allocation,Jupyter Notebook
amzn,convolutional-handwriting-gan,Python
amzn,cosearcher,Python
amzn,credence-to-causal-estimation,Python
amzn,data-jack-knife,Java
amzn,debiased-balanced-interleaving,Jupyter Notebook
amzn,differential-privacy-bayesian-optimization,Python
amzn,distance-assistant,Python
amzn,drs-sample-android-app,Java
amzn,drs-sample-ios-app,Objective-C
amzn,emukit-playground,JavaScript
amzn,eslint-plugin-no-date-parsing,TypeScript
amzn,exoplayer-amazon-port,Java
amzn,explainable-text-vqa,
amzn,extremely-efficient-query-encoder,Python
amzn,faithful-data2text-cycle-training,Python
amzn,fashion-attribute-disentanglement,Python
amzn,fire-app-builder,Java
amzn,firetv-sample-touch-app,Java
amzn,ftv-integration-sdk-sample-app,Kotlin
amzn,ftv-livetv-sample-tv-app,Java
amzn,gameon-sample-game-unity,C#
amzn,gameon-starter-kit-unity,C#
amzn,git-commit-template,JavaScript
amzn,glad,JavaScript
amzn,golang-gitoperations,Go
amzn,halo-third-party-sdk-for-java,Java
amzn,halo-third-party-sdk-for-node-js,TypeScript
amzn,halo-third-party-sdk-for-python,Python
amzn,hawktracer,C++
amzn,image-misspell-coling2020,
amzn,image-to-recipe-transformers,Python
amzn,informative-diverse-hard-negative-sampling,Python
amzn,ion-cascading-config,Java
amzn,ion-object-mapper-dotnet,C#
amzn,jekyll-doc-project,HTML
amzn,kotlin-inject-anvil,Kotlin
amzn,kqr,
amzn,lib-3d-scene-viewer,TypeScript
amzn,login-with-amazon-oscommerce,PHP
amzn,login-with-amazon-wordpress,PHP
amzn,media3-external-port,
amzn,merlin-on-demand-callgraph,JavaScript
amzn,metalearn-leap,Python
amzn,milan,Scala
amzn,MonitoringCustomMetrics,Python
amzn,mrc-net-6d-pose,Python
amzn,multiconer-baseline,Python
amzn,multilingual-keyphrase-generation,Python
amzn,multimodal-affinities,Python
amzn,MXFusion,Python
amzn,nimbus-jose-jwt_aws-kms-extension,Java
amzn,node-jose_aws-kms-extension,TypeScript
amzn,openapi-swift-code-generate,Swift
amzn,orthogonal-additive-gaussian-processes,Python
amzn,oss-attribution-builder,TypeScript
amzn,oss-contribution-tracker,TypeScript
amzn,oss-dashboard,Ruby
amzn,pecos,Python
amzn,pretraining-or-self-training,Python
amzn,python-jose_aws-kms-extension,Python
amzn,rdma-core,C
amzn,refuel-open-domain-qa,Python
amzn,rete-thewebconf-2022,Python
amzn,rheoceros,Python
amzn,robotiq-gripper-interface,C++
amzn,selling-partner-api-docs,
amzn,selling-partner-api-models,Mustache
amzn,selling-partner-api-php-release,PHP
amzn,selling-partner-api-postman,
amzn,selling-partner-api-samples,Java
amzn,selling-partner-api-sdk,PHP
amzn,seqzero,Python
amzn,service-model-swift-code-generate,Swift
amzn,sid-provision,Python
amzn,sid-signing-tool,Python
amzn,sketch-constructor,JavaScript
amzn,smoke-aws,Swift
amzn,smoke-aws-credentials,Swift
amzn,smoke-aws-generate,Swift
amzn,smoke-aws-support,Swift
amzn,smoke-dynamodb,Swift
amzn,smoke-framework,Swift
amzn,smoke-framework-application-generate,Swift
amzn,smoke-framework-examples,Swift
amzn,smoke-http,Swift
amzn,sparse-vqvae,Python
amzn,ss-aga-kgc,Python
amzn,sto-transformer,Python
amzn,supply-chain-simulation-environment,Python
amzn,tiny-attribution-generator,TypeScript
amzn,traffic-quality-smart-pixel-loader,TypeScript
amzn,trans-encoder,Python
amzn,user-satisfaction-modeling,Python
amzn,workspace-resolver,JavaScript
amzn,ws-vae,Python
amzn,xfer,Python
amzn,zeek-plugin-bacnet,Zeek
amzn,zeek-plugin-enip,Zeek
amzn,zeek-plugin-profinet,Zeek
amzn,zeek-plugin-s7comm,Zeek
amzn,zeek-plugin-tds,Zeek
amzn,zero-shot-rlhr,Python
spotify,.github,
spotify,aioshumway,Python
spotify,android-auth,HTML
spotify,android-sdk,HTML
spotify,android-store-service,Python
spotify,annoy,C++
spotify,annoy-java,Java
spotify,apollo,Java
spotify,apollo-elide,Java
spotify,apollo-metrics,
spotify,apps-tutorial,
spotify,argo-rollouts,
spotify,async-datastore-client,Java
spotify,async-google-pubsub-client,Java
spotify,backup-utils,Shell
spotify,basic-pitch,Python
spotify,basic-pitch-ts,TypeScript
spotify,batty,Python
spotify,bazel,
spotify,bazel-tools,Java
spotify,beam,Java
spotify,big-data-rosetta-code,Scala
spotify,bigtable-autoscaler,Java
spotify,boilerplate-app,
spotify,bucket-runner,JavaScript
spotify,cartography,Python
spotify,cassandra-extra,Java
spotify,cassandra-medusa,Python
spotify,cassandra-opstools,Java
spotify,cassandra-reaper,
spotify,causify,
spotify,certcheck,Python
spotify,chartify,Python
spotify,code-of-conduct,
spotify,collectd,C
spotify,comet,Python
spotify,comet-common,Python
spotify,comet-core,Python
spotify,completable-futures,Java
spotify,condor,Java
spotify,confidence,Python
spotify,confidence-sdk-android,Kotlin
spotify,confidence-sdk-flutter,Dart
spotify,confidence-sdk-go,Go
spotify,confidence-sdk-java,Java
spotify,confidence-sdk-js,TypeScript
spotify,confidence-sdk-python,Python
spotify,confidence-sdk-rust,Rust
spotify,confidence-sdk-swift,Swift
spotify,container-agent,Python
spotify,conversion-api-tag-template,Smarty
spotify,cookiecutter-golang,Go
spotify,coordinator,HTML
spotify,crtauth,Python
spotify,crtauth-java,Java
spotify,crtauth-java-agent-signer-apache,Java
spotify,crunch-lib,Java
spotify,cstar,Python
spotify,daemon-java,Java
spotify,dataenum,Java
spotify,DataflowJavaSDK,Java
spotify,dataproc-java-submitter,Java
spotify,dataprocxy,Python
spotify,dbeam,Java
spotify,debify,Shell
spotify,dh-virtualenv,Python
spotify,diffuser,Swift
spotify,dns-java,Java
spotify,docgenerator,Java
spotify,docker-alpine,
spotify,docker-bigtable,Go
spotify,docker-cassandra,Shell
spotify,docker-client,Java
spotify,docker-gc,Shell
spotify,docker-kafka,Shell
spotify,docker-maven-plugin,Java
spotify,docker-stress,Python
spotify,dockerfile-maven,Java
spotify,dockerfile-mode,Emacs Lisp
spotify,docker_interface,Python
spotify,drserv,Python
spotify,druid,
spotify,duck,Ruby
spotify,echoprint-codegen,C++
spotify,echoprint-server,Java
spotify,elasticsearch-index-window,Java
spotify,elitzur,Scala
spotify,eslint-config-oss,JavaScript
spotify,etcd,Go
spotify,featran,Scala
spotify,ffwd,Java
spotify,ffwd-client-java,Java
spotify,ffwd-http-client,Java
spotify,ffwd-ruby,Ruby
spotify,flink,Java
spotify,flink-docker,
spotify,flink-on-k8s-operator,Go
spotify,flo,Java
spotify,flume-syslog-source2,Java
spotify,flyte-flink-plugin,Go
spotify,fmt-maven-plugin,Java
spotify,folsom,Java
spotify,foss-root,
spotify,futures-extra,Java
spotify,futuristic-feline,Java
spotify,gcp-audit,Python
spotify,gcp-aws-iam-federation-webidentity,HCL
spotify,gcp-firewall-enforcer,Python
spotify,gcs-tools,Scala
spotify,ghelog,Python
spotify,gimme,Python
spotify,git-test,Shell
spotify,github-java-client,Java
spotify,google-http-java-client,Java
spotify,gordon,Python
spotify,gordon-gcp,Python
spotify,gordon-introspection,Python
spotify,gordon-janitor,Python
spotify,gordon-janitor-gcp,Python
spotify,griffin,Python
spotify,hadoop-openpgp-codec,Java
spotify,hdfs2cass,Java
spotify,helios,Java
spotify,helios-go,Go
spotify,helios-skydns,Java
spotify,heroic,Java
spotify,heroic-client-go,Go
spotify,heroic-client-java,Java
spotify,homebrew-public,Ruby
spotify,hornet,Scala
spotify,HubFramework,Objective-C
spotify,hush-tab,JavaScript
spotify,hype,Java
spotify,hyperflo,Scala
spotify,ieee-spm-vocals-tutorial,Jupyter Notebook
spotify,ios-auth,Objective-C
spotify,ios-ci,Shell
spotify,ios-sdk,Objective-C
spotify,ios-style,
spotify,java-hamcrest,Java
spotify,java-lkk,Java
spotify,java-locales,Java
spotify,jenkins-coverage-poster,Groovy
spotify,jira-lkk-bridge,Java
spotify,JniHelpers,C++
spotify,jsconfeu-2013,JavaScript
spotify,kafka,Scala
spotify,kairosdb,Java
spotify,kernel-common,
spotify,klio,Python
spotify,lemur,Python
spotify,lighthouse-audit-service,TypeScript
spotify,limbo,Scala
spotify,lingon,JavaScript
spotify,linux,C
spotify,logging-java,Java
spotify,luigi,Python
spotify,lyceum,Clojure
spotify,mace,
spotify,magnolify,Scala
spotify,metrics-munin-reporter,Java
spotify,missinglink,Java
spotify,mlockexec,Python
spotify,mobius,Java
spotify,mobius-android-sample,Java
spotify,Mobius.swift,Swift
spotify,moob,Ruby
spotify,netty-batch-flusher,Java
spotify,netty-zmtp,Java
spotify,noether,Scala
spotify,okta-sdk-python,Python
spotify,openfeature-kotlin-sdk,Kotlin
spotify,openfeature-swift-sdk,Swift
spotify,pedalboard,C++
spotify,PeqBank,C
spotify,perf-map-agent,C
spotify,phpconf-argentina-2014,JavaScript
spotify,platform-external-bluetooth-bluez,
spotify,polly-jest-presets,TypeScript
spotify,postgresql-metrics,Python
spotify,proto-registry,TypeScript
spotify,proto-requests,TypeScript
spotify,protoman,Java
spotify,puppet-talos,Puppet
spotify,pyeos,Python
spotify,pyfg,Python
spotify,pyschema,Python
spotify,python-graphwalker,Python
spotify,pythonflow,Python
spotify,pywk,Python
spotify,quickstart,JavaScript
spotify,ratatool,Scala
spotify,react-native-lookback,Objective-C
spotify,reactochart,JavaScript
spotify,realbook,Python
spotify,redux-location-state,JavaScript
spotify,requests-crtauth,Python
spotify,robolectric,Java
spotify,rspec-dns,Ruby
spotify,rspec-dnsruby,Ruby
spotify,ruler,Kotlin
spotify,s3mper,Java
spotify,scanctl,Python
spotify,scio,Scala
spotify,scio-contrib,Scala
spotify,scio-idea-plugin,Scala
spotify,scio.g8,Scala
spotify,sekexe,Shell
spotify,semantic-metrics,Java
spotify,should-up,JavaScript
spotify,shumway,Python
spotify,simple-bigtable,Java
spotify,skydns,
spotify,skygc,Python
spotify,snakebite,Python
spotify,soa-reference-integration,TypeScript
spotify,soundcheck-demo-environment,TypeScript
spotify,spark-bigquery,Scala
spotify,sparkey,C
spotify,sparkey-java,Java
spotify,sparkey-python,Python
spotify,spawn,Java
spotify,spotify-checkstyle-config,
spotify,spotify-heroic-datasource,TypeScript
spotify,spotify-js-challenge,JavaScript
spotify,spotify-json,C++
spotify,spotify-tensorflow,Python
spotify,spotify-web-api-ts-sdk,TypeScript
spotify,spotify-web-playback-sdk-example,JavaScript
spotify,spotify.github.io,HTML
spotify,SpotifyLogin,Swift
spotify,sprunch,Scala
spotify,SPStackedNav,Objective-C
spotify,SPTDataLoader,Objective-C
spotify,SPTPersistentCache,Objective-C
spotify,spydra,Java
spotify,spymaster,Python
spotify,squashing-census-exporter,Kotlin
spotify,ssh-agent-proxy,Java
spotify,ssh-agent-tls,Java
spotify,styx,Java
spotify,super-smash-brogp,Python
spotify,swupdate,
spotify,syslog-redirector,Go
spotify,syslog-redirector-golang,Go
spotify,talos,Ruby
spotify,terraform-gke-kubeflow-cluster,HCL
spotify,terraform-google-aws-hybrid-cloud-vpn,HCL
spotify,terraform-google-grr,HCL
spotify,testing-game,Python
spotify,tfexample-derive,Scala
spotify,tfreader,Scala
spotify,tfx,Python
spotify,threaddump-analyzer,JavaScript
spotify,trickle,Java
spotify,ts-interface-loader,TypeScript
spotify,tutter-jenkins,Ruby
spotify,uboot,
spotify,ulogger,Python
spotify,Vandelay,Java
spotify,vdisk,Python
spotify,vispana,JavaScript
spotify,visualizer-app,
spotify,volcano,Go
spotify,voyager,C++
spotify,wasd,Java
spotify,web-api,RAML
spotify,web-api-examples,HTML
spotify,web-audio-bench,JavaScript
spotify,web-playback-sdk,
spotify,web-scripts,TypeScript
spotify,web-scripts-library-template,TypeScript
spotify,XCMetrics,Swift
spotify,XCRemoteCache,Swift
spotify,zoltar,Java
netflix,.github,
netflix,aegisthus,Java
netflix,af_tsa,C
netflix,aminator,Python
netflix,archaius,Java
netflix,asf-rez-fork,Python
netflix,asgard,Groovy
netflix,astyanax,Java
netflix,atlas,Scala
netflix,atlas-docs,Python
netflix,aws-autoscaling,Shell
netflix,awsobjectmapper,Groovy
netflix,batch_request_api,Ruby
netflix,batch_request_client,Ruby
netflix,bbparse,C
netflix,bettertls,Go
netflix,blesk,JavaScript
netflix,bless,Python
netflix,blitz4j,Java
netflix,bpftop,C
netflix,brutal,Python
netflix,cachemover,C++
netflix,CassJMeter,Java
netflix,chaosmonkey,Go
netflix,Cloud-Prize,
netflix,clove,Python
netflix,codec_compare,Python
netflix,concurrency-limits,Java
netflix,conductor,Java
netflix,conductor-community,Java
netflix,conductor-docs,Python
netflix,conductor-ui,JavaScript
netflix,consoleme,Python
netflix,curator,Java
netflix,denominator,Java
netflix,derand,Java
netflix,dgs,HTML
netflix,dgs-codegen,Kotlin
netflix,dgs-examples-java,Java
netflix,dgs-examples-java-2.7,Java
netflix,dgs-examples-java.latest,Java
netflix,dgs-examples-java16,Java
netflix,dgs-examples-kotlin,Kotlin
netflix,dgs-examples-kotlin-2.7,Kotlin
netflix,dgs-examples-webflux,Java
netflix,dgs-federation-example,Kotlin
netflix,dgs-framework,Kotlin
netflix,dgs-intellij-plugin,Kotlin
